,7m,8m,9m,10m,11m,12m,now,stock
,30.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,361.00,634.00,446.00,430.00,446.00,526.00,283.00,
,0.00,90.00,0.00,130.00,77.00,120.00,123.00,
,173.00,282.00,246.00,110.00,242.00,295.00,171.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,2.00,0.00,0.00,0.00,0.00,4.00,
,0.00,0.00,0.00,0.00,0.00,120.00,180.00,
,16.00,15.00,30.00,28.00,39.00,46.00,33.00,
,30.00,0.00,0.00,0.00,0.00,0.00,60.00,
,30.00,0.00,0.00,0.00,0.00,0.00,60.00,
,0.00,90.00,80.00,150.00,30.00,90.00,150.00,
,21.00,0.00,288.00,180.00,9.00,90.00,93.00,
,0.00,0.00,0.00,28.00,88.00,28.00,150.00,
,1.00,0.00,0.00,2.00,0.00,0.00,3.00,
,0.00,0.00,0.00,0.00,0.00,1.00,-1.00,
,3.00,0.00,0.00,0.00,1.00,0.00,16.00,
,0.00,3.00,14.00,0.00,0.00,0.00,96.00,
,44.00,14.00,0.00,0.00,0.00,7.00,75.00,
,166.00,126.00,172.00,0.00,0.00,0.00,330.00,
,0.00,142.00,183.50,97.50,224.00,180.00,173.00,
,0.00,0.00,0.00,0.00,1.00,0.00,-1.00,
,0.00,30.00,30.00,30.00,30.00,30.00,60.00,
,0.00,0.00,88.00,27.00,22.00,0.00,75.00,
,0.00,1.00,0.00,0.00,0.00,0.00,2.00,
,0.00,0.00,0.00,0.00,0.00,0.00,65.00,
,5.00,0.00,0.00,0.00,0.00,0.00,197.00,
,0.00,70.00,0.00,28.00,30.00,35.00,19.00,
,"1,319.00","2,575.00","2,749.00","2,456.00","2,843.00","3,425.00",213.00,
,105.00,441.00,84.00,72.00,21.00,150.00,321.00,
,73.00,10.00,57.00,88.00,42.00,47.00,52.00,
,189.00,0.00,0.00,0.00,0.00,10.00,138.00,
,3.00,4.00,2.00,3.00,2.00,4.00,5.00,
,0.00,0.00,0.00,35.00,15.00,0.00,41.00,
,0.00,0.00,0.00,0.00,14.00,0.00,-14.00,
,0.00,16.00,0.00,0.00,0.00,0.00,9.00,
,0.00,0.00,0.00,0.00,0.00,30.00,30.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,21.00,0.00,39.00,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,5.00,3.00,3.00,5.00,5.00,2.00,8.00,
,0.00,3.00,1.00,1.00,0.00,0.00,3.00,
,609.00,414.00,363.00,369.00,363.00,243.00,237.00,
,0.00,0.00,30.00,37.00,35.00,37.00,161.00,
,0.00,0.00,7.00,59.00,90.00,37.00,197.00,
,0.00,0.00,60.00,60.00,141.00,95.00,124.00,
,0.00,0.00,0.00,0.00,60.00,0.00,60.00,
,0.00,0.00,0.00,0.00,0.00,30.00,30.00,
,74.00,58.00,58.00,0.00,0.00,0.00,80.00,
,221.00,164.00,81.00,180.00,120.00,60.00,200.00,
,0.00,60.00,0.00,120.00,0.00,60.00,120.00,
,97.00,144.00,30.00,7.00,0.00,247.00,155.00,
,0.00,0.00,0.00,0.00,0.00,3.00,3.00,
,0.00,0.00,0.00,0.00,0.00,120.00,0.00,
,989.00,762.00,795.00,631.00,769.00,526.00,496.00,
,54.00,174.00,149.00,132.00,164.00,102.00,245.00,
,487.00,539.00,280.00,118.00,298.00,109.00,289.00,
,30.00,64.00,384.00,243.00,455.00,414.00,216.00,
,0.00,0.00,0.00,0.00,0.00,29.00,31.00,
,"4,554.00","4,629.00","4,649.00","4,515.00","3,192.00","4,568.00","1,075.00",
,0.00,30.00,30.00,0.00,0.00,28.00,80.00,
,120.00,14.00,162.00,60.00,150.00,0.00,424.00,
,0.00,0.00,1.00,2.00,2.00,4.00,3.00,
,0.00,0.00,130.00,0.00,0.00,0.00,140.00,
,0.00,35.00,73.00,79.00,0.00,0.00,113.00,
,0.00,0.00,130.00,35.00,219.00,50.00,226.00,
,120.00,0.00,50.00,60.00,7.00,30.00,150.00,
,0.00,0.00,120.00,0.00,65.00,104.00,191.00,
